add;1310528
dsp;1310528
add;1824584
dsp;1824584
add;1564160
dsp;1564160
add;1586976
dsp;1586976
add;461984
dsp;461984
add;871112
dsp;871112
add;361144
dsp;361144
add;280976
dsp;280976
add;287488
dsp;287488
add;1347008
dsp;1347008
add;1765128
dsp;1765128
add;540456
dsp;540456
add;1428600
dsp;1428600
add;435968
dsp;435968
add;1216432
dsp;1216432
add;1633632
dsp;1633632
add;1461200
dsp;1461200
add;492912
dsp;492912
add;542880
dsp;542880
add;1238480
dsp;1238480
add;1640064
dsp;1640064
add;385512
dsp;385512
add;1101768
dsp;1101768
add;674264
dsp;674264
add;1456408
dsp;1456408
add;1731624
dsp;1731624
add;1069544
dsp;1069544
add;937208
dsp;937208
add;1908008
dsp;1908008
add;362880
dsp;362880
add;1818760
dsp;1818760
add;1289152
dsp;1289152
add;281528
dsp;281528
add;1220896
dsp;1220896
add;563768
dsp;563768
add;664448
dsp;664448
add;592408
dsp;592408
add;1660336
dsp;1660336
add;987344
add;1081728
add;464408
add;1764368
add;2030968
add;788080
add;107032
add;1712768
add;902072
add;1705992
dsp;1705992
dsp;1712768
dsp;1764368
dsp;2030968
dsp;1081728
dsp;987344
dsp;902072
dsp;788080
dsp;464408
dsp;107032
add;916384
dsp;916384
add;1755816
dsp;1755816
add;1039792
dsp;1039792
add;387232
dsp;387232
add;38632
dsp;38632
add;1097848
dsp;1097848
add;1504704
dsp;1504704
add;1918240
dsp;1918240
add;425488
dsp;425488
add;99512
dsp;99512
add;352800
dsp;352800
add;9552
dsp;9552
add;1361560
dsp;1361560
add;1563640
dsp;1563640
add;1093320
dsp;1093320
add;1853120
dsp;1853120
add;1775744
dsp;1775744
add;369840
dsp;369840
add;1100064
dsp;1100064
add;106400
dsp;106400
add;1703488
dsp;1703488
add;1925000
dsp;1925000
add;1812984
dsp;1812984
add;181664
add;553456
add;1037376
add;1620816
add;2080344
add;2018712
add;1134376
add;1471408
add;2051504
dsp;1620816
dsp;1471408
dsp;2018712
dsp;2051504
dsp;2080344
dsp;1134376
dsp;1037376
dsp;553456
dsp;181664
add;396088
dsp;396088
add;1074184
dsp;1074184
add;1812688
dsp;1812688
add;636680
dsp;636680
add;800608
dsp;800608
add;1026400
dsp;1026400
add;228648
dsp;228648
add;665064
add;412320
add;2079408
add;1911280
add;1655744
add;1275640
add;808152
add;1764800
add;1150632
dsp;412320
dsp;665064
dsp;808152
dsp;1150632
