op;seek
dsp;1189832
dsp;1121960
dsp;1112152
dsp;1097848
dsp;1093320
dsp;1076488
dsp;1042032
dsp;1039792
dsp;735040
dsp;704664
dsp;396504
dsp;387648
dsp;380992
dsp;352800
dsp;314288
dsp;292600
dsp;172768
dsp;74208
dsp;38632
dsp;30952
add;102208
dsp;102208
add;2080344
dsp;2080344
add;1876200
dsp;1876200
add;619288
dsp;619288
add;1114904
dsp;1114904
add;44504
dsp;44504
add;940008
dsp;940008
add;1454032
dsp;1454032
add;626560
dsp;626560
add;2026576
dsp;2026576
add;1812984
dsp;1812984
add;97960
dsp;97960
add;151576
dsp;151576
add;1925000
dsp;1925000
add;1240192
add;1912832
add;1703488
add;917552
add;553456
add;848856
add;14272
add;1832920
dsp;1912832
dsp;1832920
dsp;1703488
dsp;1240192
dsp;917552
dsp;848856
dsp;553456
dsp;14272
add;709552
dsp;709552
add;1620816
dsp;1620816
add;459224
add;1845704
add;1035944
add;1037376
add;1637376
add;587480
add;1565408
add;369840
add;306736
add;1134376
add;604032
add;348536
add;938016
add;1386824
add;1178760
add;1075368
add;2028600
add;1268224
add;1239272
add;1744352
add;1287424
add;816568
add;1471408
add;590992
add;2051504
add;1100064
add;942064
add;876432
add;1351656
add;1885848
add;1017320
add;297456
add;760288
add;106400
add;1564432
add;1708064
add;842496
add;1488312
add;181664
add;2045944
dsp;1637376
dsp;1708064
dsp;1744352
dsp;1845704
dsp;1885848
dsp;2028600
dsp;2045944
dsp;2051504
dsp;1565408
dsp;1564432
dsp;1488312
dsp;1471408
dsp;1386824
dsp;1351656
dsp;1287424
dsp;1268224
dsp;1239272
dsp;1178760
dsp;1134376
dsp;1100064
dsp;1075368
dsp;1037376
dsp;1035944
dsp;1017320
dsp;942064
dsp;938016
dsp;876432
dsp;842496
dsp;816568
dsp;760288
dsp;604032
dsp;590992
dsp;587480
dsp;459224
dsp;369840
dsp;348536
dsp;306736
dsp;297456
dsp;181664
dsp;106400
add;1308456
dsp;1308456
add;228648
dsp;228648
add;441048
dsp;441048
add;495032
dsp;495032
add;1049120
dsp;1049120
add;2079408
dsp;2079408
add;1631696
dsp;1631696
add;494704
dsp;494704
add;497168
dsp;497168
add;1764800
dsp;1764800
add;756752
dsp;756752
add;808152
dsp;808152
add;1026400
dsp;1026400
add;1944224
dsp;1944224
add;274112
dsp;274112
add;1832736
add;117896
add;1234344
add;1139184
add;6848
add;890520
add;1296672
dsp;117896
dsp;6848
dsp;890520
dsp;1139184
dsp;1234344
dsp;1296672
dsp;1832736
add;636680
dsp;636680
add;575664
dsp;575664
add;1330352
dsp;1330352
add;1313432
add;69280
add;544912
add;1237224
dsp;1313432
dsp;1237224
dsp;544912
dsp;69280
add;472560
add;1177696
add;800608
add;1583232
add;484856
add;1387624
add;1812688
add;313032
add;2023424
add;1559752
add;372240
add;954688
add;1559544
add;665064
add;1655744
add;2038144
add;1275640
add;1482656
add;660968
add;157616
add;667112
add;59016
add;420808
dsp;59016
dsp;157616
dsp;313032
dsp;372240
dsp;420808
dsp;472560
dsp;484856
dsp;660968
dsp;665064
dsp;667112
dsp;800608
dsp;954688
dsp;1177696
dsp;1275640
add;1045328
dsp;1387624
dsp;1482656
dsp;1559544
dsp;1559752
dsp;1583232
dsp;1655744
dsp;1812688
dsp;2023424
dsp;2038144
dsp;1045328
add;1911280
add;788840
add;1824504
add;1922952
add;1495984
add;1641088
add;1903072
add;1438288
add;957536
add;1150632
add;412320
dsp;957536
dsp;788840
dsp;1150632
dsp;1438288
dsp;1495984
dsp;1641088
dsp;1824504
dsp;1903072
dsp;1911280
dsp;1922952
dsp;412320
add;131104
dsp;131104
add;1967952
dsp;1967952
add;368000
dsp;368000
add;1748760
dsp;1748760
add;708672
dsp;708672
add;1349256
dsp;1349256
add;1449656
dsp;1449656
add;247192
dsp;247192
add;1594152
dsp;1594152
add;475904
add;521248
add;211488
add;805680
add;1561792
add;1922312
add;1544232
add;2014288
add;346120
add;1232704
add;912048
add;1382896
add;534320
dsp;1561792
dsp;1544232
dsp;1382896
dsp;1232704
dsp;912048
dsp;805680
dsp;534320
dsp;521248
dsp;475904
dsp;346120
dsp;211488
dsp;1922312
dsp;2014288
add;653712
dsp;653712
add;1591128
dsp;1591128
add;2022120
dsp;2022120
add;876296
dsp;876296
add;594528
dsp;594528
add;1776704
dsp;1776704
add;1354736
dsp;1354736
add;1342928
dsp;1342928
add;830368
dsp;830368
add;25144
add;1895576
add;966352
add;451248
add;1158192
add;1693592
add;1077704
add;1460912
add;388704
add;1267304
add;1376560
add;511944
add;294400
add;370928
add;49592
add;978000
add;1277800
add;1102992
add;1112576
dsp;966352
dsp;978000
dsp;1077704
add;1257952
add;1621360
dsp;1102992
dsp;1112576
dsp;1158192
dsp;1257952
dsp;1267304
dsp;1277800
dsp;1376560
dsp;1460912
dsp;1621360
dsp;1693592
dsp;1895576
dsp;511944
dsp;451248
dsp;388704
add;1536128
add;877408
add;146464
add;974952
add;1523464
add;241784
add;14536
add;2078824
add;561048
add;239864
add;443776
add;1992784
dsp;370928
dsp;443776
dsp;561048
dsp;294400
dsp;241784
dsp;239864
dsp;146464
dsp;49592
dsp;25144
dsp;14536
dsp;877408
dsp;974952
dsp;1523464
dsp;1536128
dsp;1992784
dsp;2078824
add;363184
dsp;363184
add;816536
dsp;816536
add;1921856
dsp;1921856
add;2040752
dsp;2040752
add;1353808
dsp;1353808
add;12296
dsp;12296
add;1631672
dsp;1631672
add;186808
dsp;186808
add;638136
dsp;638136
add;191984
dsp;191984
add;1256560
dsp;1256560
add;1540296
dsp;1540296
add;120664
dsp;120664
add;336040
dsp;336040
add;1393792
dsp;1393792
add;1713608
dsp;1713608
add;36096
dsp;36096
add;209392
dsp;209392
add;479560
dsp;479560
add;298280
dsp;298280
add;530312
dsp;530312
add;597328
dsp;597328
add;666712
dsp;666712
add;1228264
dsp;1228264
add;941984
dsp;941984
add;2001016
dsp;2001016
add;17752
dsp;17752
add;528800
dsp;528800
add;1422384
dsp;1422384
add;508328
dsp;508328
add;833968
dsp;833968
add;387720
dsp;387720
add;2054376
dsp;2054376
add;1254272
dsp;1254272
add;36832
dsp;36832
add;341464
dsp;341464
add;190224
dsp;190224
add;2068928
dsp;2068928
add;96472
dsp;96472
add;1257712
dsp;1257712
add;1888240
dsp;1888240
add;1192968
dsp;1192968
add;2031008
add;781712
add;160128
add;487600
dsp;781712
dsp;487600
dsp;160128
dsp;2031008
add;1175848
dsp;1175848
add;1038952
dsp;1038952
add;1477600
add;1175600
add;1001976
add;1522808
add;357728
add;400752
add;85016
add;2095336
add;268744
add;511440
add;1579104
add;1045712
add;1165968
add;1299440
add;1161176
add;1143736
dsp;1045712
dsp;1001976
dsp;1143736
dsp;1161176
dsp;1165968
dsp;1175600
dsp;1299440
dsp;1477600
dsp;1522808
dsp;1579104
dsp;2095336
dsp;511440
dsp;400752
dsp;357728
dsp;268744
dsp;85016
add;1903136
dsp;1903136
add;768056
dsp;768056
add;1894472
dsp;1894472
add;1222400
dsp;1222400
add;71768
dsp;71768
add;726408
dsp;726408
add;1661872
dsp;1661872
add;1629976
dsp;1629976
add;33648
dsp;33648
add;1498160
add;1284432
add;368032
add;2085872
add;1209960
add;1661448
add;999456
add;318496
add;1070600
add;2073704
add;1205304
add;1231552
add;247832
dsp;247832
dsp;318496
dsp;368032
dsp;999456
dsp;1070600
dsp;1205304
dsp;1209960
dsp;1231552
dsp;1284432
dsp;1498160
dsp;1661448
dsp;2073704
dsp;2085872
add;1279664
dsp;1279664
add;408424
dsp;408424
add;130280
dsp;130280
add;2096824
dsp;2096824
add;1726416
dsp;1726416
add;1788600
dsp;1788600
add;814816
dsp;814816
add;1410104
dsp;1410104
add;1124720
dsp;1124720
add;1879952
dsp;1879952
add;280808
dsp;280808
add;529848
dsp;529848
add;1942192
dsp;1942192
add;747504
dsp;747504
add;604560
dsp;604560
add;1621640
dsp;1621640
add;1221864
dsp;1221864
add;267272
dsp;267272
add;2016976
dsp;2016976
add;205792
dsp;205792
add;1452280
dsp;1452280
add;1895896
dsp;1895896
add;2091032
dsp;2091032
add;677136
dsp;677136
add;1948368
dsp;1948368
add;1282264
dsp;1282264
add;478544
add;847400
add;1472280
add;796584
add;1872560
add;255184
add;489512
add;1551248
add;1187080
add;1173104
add;857336
add;528936
add;192816
add;586552
add;1105472
add;92728
dsp;1187080
dsp;1173104
dsp;1105472
dsp;857336
dsp;847400
dsp;796584
dsp;586552
dsp;528936
dsp;489512
dsp;478544
dsp;255184
dsp;192816
dsp;92728
dsp;1472280
dsp;1551248
dsp;1872560
add;809272
dsp;809272
add;210304
dsp;210304
add;1146512
dsp;1146512
add;627544
dsp;627544
add;1124104
dsp;1124104
add;280568
dsp;280568
add;1756640
dsp;1756640
add;1275504
dsp;1275504
add;256048
dsp;256048
add;791720
dsp;791720
add;250600
dsp;250600
add;71312
dsp;71312
add;1159736
dsp;1159736
add;697344
dsp;697344
add;718984
dsp;718984
add;501368
dsp;501368
add;1505248
dsp;1505248
add;1052784
dsp;1052784
add;1725904
dsp;1725904
add;1546904
dsp;1546904
add;1822160
dsp;1822160
add;1706600
dsp;1706600
add;427776
dsp;427776
add;1513168
dsp;1513168
add;367944
dsp;367944
add;570032
dsp;570032
add;131440
dsp;131440
add;1220184
dsp;1220184
add;1840344
dsp;1840344
add;315328
dsp;315328
add;376656
add;597376
add;621776
add;500376
add;1532488
add;2079480
add;1337752
add;647560
add;60104
add;1061320
add;1205560
add;932488
add;1237376
add;1134808
add;1402184
add;1401744
dsp;376656
dsp;500376
dsp;597376
dsp;621776
dsp;647560
dsp;932488
dsp;1061320
dsp;1134808
dsp;1205560
dsp;1237376
dsp;1337752
dsp;1401744
dsp;1402184
dsp;1532488
dsp;2079480
dsp;60104
add;131992
add;42224
add;650584
add;1010936
add;1655296
add;138192
dsp;42224
dsp;131992
add;1262152
add;1549640
add;1407200
add;230720
add;978504
add;2000200
add;1527688
add;1858544
add;514304
add;1667400
add;486872
add;809848
dsp;138192
dsp;230720
dsp;486872
dsp;514304
dsp;650584
dsp;809848
dsp;978504
dsp;1010936
dsp;1262152
dsp;1407200
dsp;1527688
dsp;1549640
dsp;1655296
dsp;1667400
dsp;1858544
dsp;2000200
